Song Title,Lyrics
Satellite,"I know it's late, but something's on my mind
It couldn't wait, there's never any time
'Cause life slips by without a warnin'
And I'm tired of ignorin'
All the space that's between you and I
Let's lock the door behind us
They won't find us
Make the whole world wait
While we dance around this bedroom
Like we've only got tonight
Not about to let you
Go 'til the morning light
You can be my whole world
If I can be your satellite
Let's dance around this bedroom
Like tonight's our only night
Dance around this room (I'll be your satellite)
Dance around this room (I'll be your satellite)
Do you recall how long it must have been
Since any room held only you and me?
And every song that sings about it
Says that we can't live without it
Now I know just what that really means
Let's lock the door behind us
They won't find us
Make the whole world wait
While we dance around this bedroom
Like we've only got tonight
Not about to let you
Go 'til the morning light
You can be my whole world
If I can be your satellite
Let's dance around this bedroom
Like tonight's our only night
Dance around this room (I'll be your satellite)
Dance around this room (I'll be your satellite)
Dance with me around the moon (You and I, every night)
Dance around this room (I'll be your satellite)
I can't believe the days turn into years
I hate to see the moments disappear
But tonight, the sand is stoppin'
Take the hourglass and drop it
So we can stay inside this atmosphere
Dance around this room (I'll be your satellite)
Dance around this room (I'll be your satellite)
Dance with me around the moon (You and I, every night)
Dance around this room (I'll be your satellite)
Let's dance around this bedroom (I'll be your satellite)
Let's dance around this bedroom (I'll be your satellite)
Let's dance around this bedroom (I'll be your satellite)
Let's dance around this bedroom (I'll be your satellite)"
Next Contestant,"I judge by what she's wearing
Just how many heads I'm tearing
Off of assholes coming on to her
Each night seems like it's getting worse
And I wish she'd take the night off
So I don't have to fight off
Every asshole coming on to her
It happens every night she works
They'll go and ask the DJ
Find out just what would she say
If they all tried coming on to her
Don't they know it's never gonna work
They think they'll get inside her
With every drink they buy her
As they all try coming on to her
This time somebody's getting hurt
Here comes the next contestant
Is that your hand on my girlfriend?
Is that your hand?
And I wish you'd do it again
I'll watch you leave here limping
And I wish you'd do it again
I'll watch you leave here limping
There goes the next contestant
I even fear the ladies
They're cool, but twice as crazy
Just as bad for coming on to her
Don't they know it's never gonna work
Each time she bats an eyelash
Somebody's grabbing her ass
Everyone keeps coming onto her
This time somebody's getting hurt
Here comes the next contestant
Is that your hand on my girlfriend?
Is that your hand?
And I wish you'd do it again
I'll watch you leave here limping
And I wish you'd do it again
I'll watch you leave here limping
There goes the next contestant
I'm hating what she's wearing
Everybody here keeps staring
Can't wait 'till they get what they deserve
This time somebody's getting hurt
Here comes the next contestant
Is that your hand on my girlfriend?
Is that your hand?
And I wish you'd do it again
I'll watch you leave here limping
And I wish you'd do it again
I'll watch you leave here limping
And I wish you'd do it again
Each night seems like it's getting worse
And I wish you'd do it again
This time somebody's getting hurt
There goes the next contestant"
Side of a Bullet,"Uncle Sam taught him to shoot, maybe a little too well
Finger on the trigger, loaded bullet
He hit the stage so full of rage And let the whole world know it
Six feet away, they heard him say ""Oh God, don't let him pull it""
""Please God, don't let him pull it""
How could you put us through it?
His brother watched you do it
How could you take his life away? (What made you think you had the right?)
How could you be so full of hate? (To take away somebody's life)
And when I heard you let him die and made the world all wonder why
I sat at home and on my own, I cried alone
And scratched your name on the side of a bullet
And in the wake of his mistake So many lives are broken
Gone forever from a loaded bullet
And no excuse that you could use Could pull somebody through it
And to this day so many say, ""God why'd you let him do it?""
How could you let him do it?
How could you put us through it?
His brother watched him do it
How could you take his life away? (What made you think you had the right?)
How could you be so full of hate? (To take away somebody's life)
And when I heard you let him die and made the world all wonder why
I sat at home and cried alone
And on my own, I scratched your name on the side of a bullet
How could you take his life away? (What made you think you had the right?)
How could you be so full of hate? (To take away somebody's life)
And when I heard you let him die and made the world all wonder why
I sat at home and cried alone
And on my own, I scratched your name on the side of a bullet
On the side of a bullet
On the side of a bullet
On the side of a bullet"
Those Days,"Remember when the streetlights came on and we had to be home?
Remember when Elm Street came on? Couldn't watch it alone
Remember every prank call we made and star-sixty-nine?
Remember tryna hit eighty-eight to go back in time?
Remember when they played ""Purple Rain"" to our first slow dance?
Remember when we thought that first base was just holding hands?
Those days come back in the dead of night
Those days that felt like another life
What would you be doin' back in those days?
We'd be turnin' up the stereo
And play it everywhere we'd go
And so did everyone we'd know in those days
And everybody got to fall in love
With every movie made for us
God, I couldn't get enough of those days
Remember every poster we had hangin' on the wall?
Remember every T-shirt we stole from the local mall?
(""Ace of Spades"" by Motörhead)
Remember Guns n' Roses came out? We were standin' in line
Remember front row at that show? Camped out all night
(Got so high, ""Sweet Child O' Mine"")
Those days come back in the dead of night
Those days that felt like another life
What would you be doin' back in those days?
We'd be turnin' up the stereo
And play it everywhere we'd go
And so did everyone we'd know in those days
And everybody got to fall in love
With every movie made for us
God, I couldn't get enough of those days
The time we'd waste 'cause life could wait
What we'd give to relive just a single day
The time we'd waste 'cause life could wait
What we'd give to relive just a single day
Instead of turnin' the page
We'd be turnin' up the stereo
And play it everywhere we'd go
And so did everyone we'd know in those days
And everybody got to fall in love
With every movie made for us
God, I couldn't get enough of those days
(Oh) Those days that felt like another life
(Oh) Those days come back in the dead of night
(Oh) Those days that felt like another life
(Oh) What would you be doin' back in those days?"
Shakin’ Hands,"(Hey, hey)
She had her eyes on the prize as the girl next door
You grow up quick when you grow up poor
It's the only way to LA that she knows
The Hollywood pose: teeth, tits, and toes
It didn't take her long to leave the boulevard
So many Five Star friends with black credit cards
She'd try anything once
'Cause anything goes
It never comes easy when you're digging for gold
(Hey, hey)
Well, she ain't no Cinderella
When she's getting undressed
'Cause she rocks it like the naughty wicked witch of the west
Far too pretty to be giving it cheap
That's why she's making six figures working three days a week
Yeah, she'd even break a promise in the promise-land
She didn't make it this far by just shaking hands
She'll shake her money maker twice as hard as anyone can
She didn't make it this far by just shaking hands
(Hey, hey)
I doubt she'd even let the devil buy her little black book
City Hall would probably fall off if anyone got a look
Every A-List player is her favorite friend
Since they all taste the same in the back of the Benz
A congressman would call her every once in a while
Got the school girl skirt on the top of the pile
She'd done everyone once and everyone knows
You gotta get a little dirty when you're digging for gold
(Hey, hey)
Well, she ain't no Cinderella
When she's getting undressed
'Cause she rocks it like the naughty wicked witch of the west
Far too pretty to be giving it cheap
That's why she's making six figures working three days a week
Yeah, she'd even break a promise in the promise-land
She didn't make it this far by just shaking hands
She'll shake her money maker twice as hard as anyone can
She didn't make it this far by just shaking hands
Well, someone spilled the beans and now her name's in the press
Tough to keep it all a secret when you're one of the best
The judge is going easy 'cause he paid for her chest
Yeah, he loves his little naughty wicked witch of the west
Far too pretty to be giving it cheap
That's why she's making six figures working three days a week
Yeah, she'd even break a promise in the promise-land
She didn't make it this far by just shaking hands
She'll shake her money maker twice as hard as anyone can
She didn't make it this far by just shaking hands
She'll shake her money maker twice as hard as anyone can
She didn't make it this far by just shaking hands"
Rockstar Sea Shanty,"I'm through with standing in line to pubs I'll never get in
It's like the bottom of the ninth and I'm never gonna win
Life hasn't turned out quite the way I want it to be
Tell me what you want
I want a huge sail that'll hold the squalls
And a big black ship with some cannonballs
Don't wanna join Davy Jones twenty thousand leagues under the sea
So how you gonna do it?
I'm gonna trade this life for fortune and fame
I'd even grow my beard and change my name, we
We all just wanna be big rockstars
Live in hilltop houses driving fifteen cars
The girls come еasy and the drugs come cheap
Wе all stay skinny 'cause we just won't eat
And we'll hang out in the coolest bars
In the VIPs with the movie stars
Every good gold digger's gonna wind up there
Every Playboy Bunny with her bleached blond hair
And we'll hide out in the private rooms
With the latest dictionary and today's who's who
They'll get you anything with that evil smile
Everybody's got a rum dealer on speed dial
Hey, I wanna be a rockstar
Gonna sing those songs that offend the censors
Singing those songs that offend the censors
Popping my pills from a Pez dispenser
(Rockstars don't do mornings)
Get washed up sailors writing all our songs
Get washed up sailors writing all our songs
Lipsync 'em every night so I don't get 'em wrong
We'll sing them dusk till morning, we, we
We all just wanna be big rockstars
Live in hilltop houses driving fifteen cars
The girls come easy and the drugs come cheap
We'll all stay skinny 'cause we just won't eat
And we'll hang out in the coolest bars
In the VIPs with the movie stars
Every good gold digger's gonna wind up there
Every Playboy Bunny with her bleached blond hair
And we'll hide out in the private rooms
With the latest dictionary and today's who's who
They'll get you anything with that evil smile
Everybody's got a rum dealer on speed dial
Hey, I wanna be a rockstar
Everybody's got a rum dealer on speed dial
Hey, I wanna be a rockstar"
Coin for the Ferryman,"Flying down the highway like a bat out of hell
My buddy Bradley's in the middle
Darcy's lookin' out the window
We just got high and hopin' no one can tell
But with the icky of the sticky
It don't matter where the wind blows
Lighter in my hand and I've got nothing to burn
Except a little turpentine inside of those five paint cans
Get grandpa's shotgun and we'll all take turns
But don't you ever say a word
Cause you know momma's gonna hate that
The dice that we've been rollin'
With our lives are better stolen
When you're walking through the fire for fun
Tidal wave in motion
You can't hide from the explosion
In three, two, one
We're smokin' dynamite
Too many fuses to light
(Got kingdom come, on the run)
Gonna steal, beg, and borrow
A thousand fahrenheit and we're about to ignite
So keep the throttle to the bottom
We may never see tomorrow
If tonight's our time to go, the one thing I know
We'll need a coin for the ferryman
Leave us a coin for the ferryman
Countin' every nickel, dime and five dollar bill
So we've been stealin' gasoline and laying low out on the backroads
The city lights are glowin' over the hill
And we can make it, but we take the chance of never coming back home
The dice that we've been rollin'
With our lives are better stolen
When you're walking through the fire for fun
Tidal wave in motion
You can't hide from the explosion
In three, two, one
We're smokin' dynamite
Too many fuses to light
(Got kingdom come, on the run)
Gonna steal, beg, and borrow
A thousand fahrenheit and we're about to ignite
So keep the throttle to the bottom
We may never see tomorrow
If tonight's our time to go, the one thing I know
We'll need a coin for the ferryman
Leave us a coin for the ferryman
One for the road and one for those in heaven
One for the lord and take it from the devil
Don't even try, 'cause you know you can't hide
Better run, better run, better run
We're smokin' dynamite
Too many fuses to light
(Got kingdom come, on the run)
Gonna steal, beg, and borrow
A thousand fahrenheit and we're about to ignite
So keep the throttle to the bottom
We may never see tomorrow
If tonight's our time to go, the one thing I know (one thing I know)
We're smokin' dynamite (smokin' dynamite)
(Got kingdom come, on the run)
A thousand fahrenheit
So keep the throttle to the bottom
We may never see tomorrow
If tonight's our time to go, the one thing I know
We'll need a coin for the ferryman
Leave us a coin for the ferryman"
Fight for All the Wrong Reasons,"Well, I wanted you
I wanted no one else
I thought it through
I got you to myself
You got off
Every time you got on to me
I got caught up
In favorable slavery
Was it wrong? Was it wrong?
I guess it wasn't really right
I guess it wasn't meant to be
It didn't matter what they said
'Cause we were good in bed
I guess I stuck around so I could watch us fight
For all the wrong reasons
No, it didn't matter what I tried
It's just a little hard to leave
When you're going down on me
I guess I stuck around so I could watch us fight
For all the wrong reasons
Well, you know my friends
They know your enemies
I'd pretend
Not to hear what they said to me
'Cause I got off
Every time you got on to me
Was it wrong to go along with insanity?
Was it wrong? Was it wrong?
I guess it wasn't really right
I guess it wasn't meant to be
It didn't matter what they said
'Cause we were good in bed
I guess I stuck around so I could watch us fight
For all the wrong reasons
No, it didn't matter what I tried
It's just a little hard to leave
When you're going down on me
I guess I stuck around so I could watch us fight
For all the wrong reasons
You know I’m the best
When I stick it on your chest
I know you don't care
I can stick it anywhere
On the bus, it's the best
When I blow it on your chest
I know you don't care
I can shove it anywhere
I guess it wasn't what I wanted
Wasn't really what I thought
Thought it was the day I got
I want it all to go away
I guess it wasn't what I wanted
Wasn't really what I thought
Thought it was the day I got
I want it all to go away
I guess it wasn't what I wanted
Wasn't really what I thought
Thought it was the day I got
I want it all to go away
I guess it wasn't what I wanted
Wasn't really what I thought
Thought it was the day I got
I want it all to go away
I guess it wasn't really right
I guess it wasn't meant to be
It didn't matter what they said
'Cause we were good in bed
I guess I stuck around so I could watch us fight
For all the wrong reasons
No, it didn't matter what I tried
It's just a little hard to leave
When you're going down on me
I guess I stuck around so I could watch us fight
For all the wrong reasons"
Follow You Home,"Well, you can dig me up a grave
And try and stick me in the ground
Well, you can tie me to the bed
And try and beat me half to death
But you can never keep me down
Well, you can stick me in a hole
And you can pray all day for rain
You can shoot me in the leg
Just to try to make me beg
And you can leave me there for days
And I'll stay alive
Just to follow you home, yeah
And I will survive
'Cause you're my Mississippi Princess, you're my California Queen
Like the Duchess of Detroit and every city in between
You can slap me in the face and you can scream profanity
Leave me here to die alone, but I'll still follow you home
I'll still follow you home
You can make a couple calls
And tell your brothers I'm in town
Put a bounty on my head
And tell my parents that I'm dead
And hope to hell I'm never found
You can steal me the keys
To your daddy's Cadillac
Well, you can tamper with the brakes
Call it a mistake
And pray I'm never coming back
And I'll stay alive
Just to follow you home, yeah
And I will survive
'Cause you're my Mississippi Princess, you're my California Queen
Like the Duchess of Detroit and every city in between
You can slap me in the face and you can scream profanity
Leave me here to die alone, but I'll still follow you home
I'll still follow you home
You can dig me up a grave
And try and stick me in the ground
You can tie me to the bed
And try and beat me half to death
But you can never keep me down
And I will survive
Cause you're my Mississippi Princess, you're my California Queen
Like the Duchess of Detroit and every city in between
You can slap me in the face and you can scream profanity
Leave me here to die alone, but I'll still follow you home
I'll still follow you home (I'll still follow you home)
I'll still follow you home (I'll still follow you home)
I'll still follow you home (I'll still follow you home)
I'll still follow you home (I'll still follow you home)
I'll still follow you home"
Edge of a Revolution,"Head high, protest line
""Freedom"" scribbled on your sign
Headline, New York Times
Standing on the edge of a revolution
Hey, hey, just obey
Your secret's safe with the NSA
In God we trust or the CIA?
Standing on the edge of a revolution
Yeah, we're standing on the edge of a revolution
No, we won't give up, we won't go away
'Cause we're not about to live in this mass delusion
No, we don't wanna hear another word you say
'Cause we know they're all depending on mass confusion
No, we can't turn back, we can't turn away
'Cause it's time we all relied on the last solution
No, we won't lay down and accept this fate
'Cause we're standing on the edge of a revolution
Wall Street, common thief
When they get caught they all go free
A brand new yacht and a finder's fee
Standing on the edge of a revolution
Same shit, different day
Can't keep fed if I can't get paid
We'll all be dead if the shit don't change
Standing on the edge of a revolution
Yeah, we're standing on the edge of a revolution
No, we won't give up, we won't go away
'Cause we're not about to live in this mass delusion
No, we don't wanna hear another word you say
'Cause we know they're all depending on mass confusion
No, we can't turn back, we can't turn away
'Cause it's time we all relied on the last solution
No, we won't lay down and accept this fate
'Cause we're standing on the edge of a revolution
(We'd all be dead if the shit don't change)
What do we want? (We want change)
And how're we gonna get there? (Revolution)
What do we want? (We want change)
Standing on the edge of a revolution
What do we want? (We want change)
And how're we gonna get there? (Revolution)
What do we want? (We want change)
Standing on the edge of a revolution
No, we won't give up, we won't go away
'Cause we're not about to live in this mass delusion
No, we don't wanna hear another word you say
'Cause we know they're all depending on mass confusion
No, we can't turn back, we can't turn away
'Cause it's time we all relied on the last solution
No, we won't lay down and accept this fate
'Cause we're standing on the edge of a revolution
What do we want? (We want change)
And how're we gonna get there? (Revolution)
What do we want? (We want change)
Standing on the edge of a revolution
What do we want? (We want change)
And how're we gonna get there? (Revolution)
What do we want? (We want change)
Standing on the edge of a revolution"
Skinny Little Missy,"She's tough no doubt
She'll eat you up and spit you out
Her club, downtown
Gonna need a lot of credit if you're hanging out
Top shelf, top floor
I'm like a kid in a candy store
Resist? What for?
You know you're coming back for more
Skinny little Missy don't want no boyfriend
Skinny little Missy don't waste no time
Her pretty little face will never grace your bedroom
'Cause skinny little Missy is a friend of mine
Skinny little Missy don't want no boyfriend
Skinny little Missy don't waste no time
Her pretty little face will never grace your bedroom
'Cause skinny little Missy is a friend of mine
It ain't cheap, I ain't lyin'
Strikes pain to hear the price
What's free? My advice
Need the wallet of a baller for this appetite
Unsafe and unwise to be going after mine
Long list, long line
Fallin' for her every night
Skinny little Missy don't want no boyfriend
Skinny little Missy don't waste no time
Her pretty little face will never grace your bedroom
'Cause skinny little Missy is a friend of mine
Skinny little Missy don't want no boyfriend
Skinny little Missy don't waste no time
Her pretty little face will never grace your bedroom
'Cause skinny little Missy is a friend of mine
Skinny little Missy don't want no boyfriend
Skinny little Missy don't waste no time
Her pretty little face will never grace your bedroom
'Cause skinny little Missy is a friend of mine
Skinny little Missy don't want no boyfriend
Skinny little Missy don't waste no time
Her pretty little face will never grace your bedroom
'Cause skinny little Missy is a friend of mine
Skinny little Missy don't want no boyfriend
Skinny little Missy don't waste no time
Her pretty little face will never grace your bedroom
'Cause skinny little Missy is a friend of mine
'Cause skinny little Missy is a friend of mine"
Million Miles An Hour,"I can taste the color of the lights
Take one of those and two of these
Then watch the walls begin to breathe
I can taste the color of the lights
Wings are growing out of me
The floor is floating underneath
I can see the future burning bright
Future burning bright
The ceiling has us mesmerized
It feels like we could never die
Heading for the dark side of the moon
As we lift off into the sky
Invincible and so alive
Ten feet tall and fucking bulletproof
Insanity is setting in
Reality is getting thin
The universe just started slowing down
Yet suddenly we're traveling
A million miles an hour
A million miles an hour
We're going a million miles an hour
A million miles an hour
When shadows soon start breaking free
No longer held by gravity
(How did we get so far from the ground?)
Speaking to the galaxy
Received and sending back to me
I can finally hear the speed of sound
Speed of fucking sound
I like this everlasting pill
'Cause time itself is standing still
Why's the room still spinning just the same?
Turn off your phone so no one calls
'Cause you and I are tripping balls
I can still hear ringing in my brain
Insanity is setting in
Reality is getting thin
See no signs of ever coming down
Yet suddenly we're traveling
A million miles an hour
A million miles an hour
We're going a million miles an hour
A million miles an hour
Insanity is setting in
Reality is getting thin
The particles are dancing all around
I can't deny the hardest thing for me
Is finding time to finally breathe
See no signs of ever coming down
Another wave is coming in
A million miles an hour
A million miles an hour
We're going a million miles an hour
A million miles an hour
A million miles an hour
A million miles an hour
A million miles an hour
A million miles an hour"
The Betrayal (Act III),"Table has been set
Serving up the worst regret
Waiting for the chance
Serpents love the circumstance
Speaking to the sky
Sleight of hand and cheap disguise
Naming of your price
Payment for the sacrifice
Demon in your ear
Evil on your breath
You've brought the wolves right here
You've brought the kiss of death
You just betrayed him (You just betrayed...)
The moment we've all been waiting
No one can save him (No one can save...)
You won't believe until he's gone
Go on, go on
Your noose is waiting (No need to wait)
Go on, go on
You just betrayed him (You just betrayed...)
Committed to your task
Jealousy behind your mask
Pieces are in place
Thirty for your last disgrace
Holding of your tongue
Dealings that can't be undone
Blood over your hands
Pawn inside the master plan
Demon in your ear
Evil on your breath
You brought the wolves right here
You brought the kiss of death
You just betrayed him (You just betrayed...)
The moment we've all been waiting
No one can save him (No one can save...)
You won't believe until he's gone
Go on, go on
Your noose is waiting (No need to wait)
Go on, go on
You just betrayed him (You just betrayed...)
What have you gained?
What have you done?
Nothing but shame and there's nowhere to run
Who takes the blame?
Why have they come?
What in God's name have you done?
You just betrayed him (You just betrayed...)
The moment we've all been waiting
No one can save him (No one can save...)
You won't believe until he's gone
Go on, go on
Your noose is waiting (No need to wait)
Go on, go on
You just betrayed him (You just betrayed...)
You just betrayed
You just betrayed
You just betrayed
You just betrayed"
Every Time We’re Together,"I'm back in my hometown
And Main Street's dying now
It's like there's nothing left of it
No more high school grounds
They tore that building down
And everything with it I miss
I call up my old friends
So lost since I've seen them
Feels like we're back there instantly to me
We'd all meet at Shawn's
The backyard fire's on
And we'd start telling tales of how life used to be
The years have come and gone
But these stories carry on
Looking back, they're better than they used to be
'Cause you should've seen the size of the guys we were fightin'
And we shouldn't be alive at the speeds we were driving
But Momma always taught us never to tell a lie
And every ten yard pass always turned into twenty
Every girl we were with never cost any money
And we drank more tequila than any man alive
And the story goes on, and gets a little better
Every time we're together
It's funny how we change
And some things stay the same
God, I miss the glory days, always
Daylight getting near
We shed a few more tears
Lord, I love the memories we've made
The years have come and gone
But the stories carry on
Looking back, they're better than they used to be
'Cause you should've seen the size of the guys we were fightin'
And we shouldn't be alive at the speeds we were driving
But Momma always taught us never to tell a lie
And every ten yard pass always turned into twenty
Every girl we were with never cost any money
And we drank more tequila than any man alive
And the story goes on, and gets a little better
Every time we're together
Well, you should've seen the size of the guys we were fightin'
And we shouldn't be alive at the speeds we were driving
But Momma always taught us never to tell a lie
And every ten yard pass always turned into twenty
Every girl we were with never cost any money
And we drank more tequila than any man alive
And the story goes on, and gets a little better
Every time we're together
And the story goes on, and gets a little better
Every time we're together"
Just to Get High,"He was my best friend
Well, I tried to help him
But he traded everything for suffering
And found himself alone
I watched the lying turn into hiding
With scars on both his lips, his fingertips were melted to the bone
But I can still remember what his face looked like
When I found him in an alley in the middle of the night
Tell me what you know, tell me what you gone and done now
Tell me what you know, tell me what you gone and done now
A gun would do the trick, get it over with
You're better off
To take all you've got and burn it on the spot
To get high-igh, -igh, -igh (High-igh, -igh, -igh)
Three days no sleeping
Well, he gave up eating
He sold his mother's rings, she said nothing
And pretended not to know
He started stealing, to supply the feeling
Found out he pulled a knife, on someone's wife
And held it to her throat
But I can still remember what his face looked like
When I found him in an alley in the middle of the night
Tell me what you know, tell me what you gone and done now
Tell me what you know, tell me what you gone and done now
A gun would do the trick, get it over with
You're better off
To take all you've got and burn it on the spot
To get high (High)
Tell me what you did, where you gone and hid?
Show me is what you really want, watching what you've got
Slowly
Circling the drain, throw it all away
Just to get high (High)
High-igh, -igh, oh
(High-igh-igh-igh, high-igh-igh-igh)
High
(High-igh-igh-igh, high-igh-igh-igh)
High
Tell me what you know, tell me what you gone and done now
Tell me what you know, tell me what you gone and done now
A gun would do the trick, get it over with
You're better off
To take all you've got and burn it on the spot
Just to get high-igh, -igh, -igh (High-igh, -igh, -igh)
Tell me what did, where you gone and hid?
Show me is what you really want, watching what you've got
Slowly
Circling the drain, throw it all away
Just to get high-igh, -igh, -igh, -igh
Just to get high-igh, -igh, -igh, -igh
Circling the drain, throw it all away
Just to get high-igh, -igh, -igh, -igh"
Silent Majority,"How could this affect my life?
How could I affect the outcome?
So why even try; for what, for what, for what, for what?
A coward can save the day
When the bravest of men just stand by
So easy to say; so what, so what, so what?
So what if we all stand up?
What if we don't give in?
What if we traded all complacency for a voice that won't be ignored?
How can we just give up?
How can we just give in?
What if the silent majority wasn't silent anymore?
A candle's the smallest light
But a handful becomes a lighthouse
Cutting the night for us, for us, for us, for us
The one with the loudest voice is rarely the one to follow
Silence the noise; so what, so what, so what?
So what if we all stand up?
What if we don't give in?
What if we traded all complacency for a voice that won't be ignored?
How can we just give up?
How can we just give in?
What if the silent majority wasn't silent anymore?
Hurry up, the world needs this
Speak up now or we can pick up the pieces
Hurry up, the world needs this
Speak up now or we can pick up the pieces
Hurry up, the world needs this
Speak up now or we can pick up the pieces
What if we, what if we, what if we...
So what if we all stand up?
What if we don't give in?
What if we traded all complacency for a voice that won't be ignored?
How can we just give up?
How can we just give in?
What if the silent majority wasn't silent anymore?
Hurry up, the world needs this
Hurry up, the world needs this (the world needs this)
The world needs this
The world needs this
The world needs this
The world needs this"
Miss You,"I miss you so, so I do
I miss you so, so I do
I miss you so, so I do
I miss you so...
I just woke up from a dream today
Time gone by, but you still look the same
Felt so real to have you back with me
It's just too bad it's just another dream
(Gimme just one wish)
If I could give it all away, I'd do it just for one more day
I thought I had the time to wait, now it's too late to tell you that I...
I miss you so, so I do
I miss you so, so I do (I miss you so much)
I miss you so, so I do
I miss you so, so I do (God knows I do, I...)
I miss you so, so I do
I miss you so, so I do (I miss you so much)
I miss you so, so I do
I miss you so, so I do
After dark, laughing in the rain
Silver heart locket on a chain
Well, pictures fade and silver turns to grey
But the best of thieves couldn't take my love away
(Gimme just one wish)
If I could give it all away
I'd do it just for one more day
And trade it in for one more moment
Tell you what I never told you
All the things I left unsaid
I meant to say before you left
I thought I had the time to wait
Now it's too late to tell you that I...
I miss you so, so I do
I miss you so, so I do (I miss you so much)
I miss you so, so I do
I miss you so, so I do (God knows I do, I...)
I miss you so, so I do
I miss you so, so I do (I miss you so much)
I miss you so, so I do
I miss you so, so I do
If there was some way, you know I would
I'd do it today, I wish I could
I call out your name, it does no good
I wish I knew what would
I, I miss you so much
God knows I do
I, I wish my wish was enough
(Gimme just one wish)
If I could give it all away
I'd do it just for one more day
And trade it in for one more moment
Tell you what I never told you
All the things I left unsaid
I'd live to say before you left
I thought I had the time to wait
Now it's too late to tell you that I...
I miss you so, so I do
I miss you so, so I do (I miss you so much)
I miss you so, so I do
I miss you so, so I do (God knows I do, I...)
I miss you so, so I do
I miss you so, so I do (I miss you so much)
I miss you so, so I do
I miss you so"
Get ’Em Up,"His driver’s license said James, he went by Jim
A gangster wannabe, and baby, that was him
He stole his uncle’s 44 last Friday night
Said if I wanted in, we’d have to plan this thing just right
We’ll need the gloves, we’ll need the bags, a couple masks
We’ll need to steal a car with windows tinted black
We picked the nearest bank on Main and 17th
We wrote down every line from every movie that we’d seen
Screamin'...
This is a robbery, now get down on the floor
We’re here for all the shit that you don’t need no more (Yeah)
We want your cash, open the safe, get off your phone
Don’t be a hero and you might just make it home
Get 'em up
And get down
Reach for the sky
Then go ahead and kiss the ground
Get 'em up
And get down
Reach for the sky
Then go ahead and kiss the ground
Get 'em up
Get 'em, get 'em up
A freshly stolen Mustang, small block 302
Drove past the bank a dozen times this afternoon
The only parking spot was half a block away
Gave us time to practice just exactly what to say
Screamin'...
This is a robbery now, get down on the floor
We’re here for all the shit that you don’t need no more (Yeah)
We want your cash, open the safe, get off your phone
Don’t be a hero and you might just make it home
Get 'em up
And get down
Reach for the sky
Then go ahead and kiss the ground
Get 'em up
And get down
Reach for the sky
Then go ahead and kiss the ground
Get 'em up
Get 'em, get 'em up
Get 'em, get 'em up
The only thing I wish that one of us had known
That it was Sunday and the goddamn bank was closed
Too bad we didn’t see the cops across the street
We dropped our guns and tried to run and there went all our dreams of screamin'...
This is a robbery, now get down on the floor
We’re here for all the shit that you don’t need no more (yeah)
We wanted easy, straight and now we’ll never know
Somebody call my mom and tell her I ain’t coming home
Get 'em up
And get down
Reach for the sky
Then go ahead and kiss the ground
Get 'em up
And get down
Reach for the sky
Then go ahead and kiss the ground
Get ‘em up"
Next Go Round,"I wanna do it 'til the sun comes up
'Til we're both so good and sweaty that we can't stand up
I wanna do it till we're both about to drop
As long as we're caught in together then we're never gonna stop
I wanna go until the neighbors all complain
Beause they heard somebody screaming and they think we're both in pain
I wanna go so long your parents think you died
They’re gonna call the cops, the CIA, and then the FBI
Yeah, we're gonna love it when the lights go down
(Hold on, here we go)
Yeah, we're gonna go until our legs give out
('Round and 'round we go)
Yeah, we're gonna do it hanging upside down
(Up and down we go)
Yeah, we're getting ready for the next go 'round
'Round and 'round we go
Shut the windows, lock the door, unplug the phone
For all intents and purposes, there ain't nobody home
Then we can do it till the batteries are gone
And borrow two from the TV remote to throw this thing back on
I wanna cover you with jello in the tub
We can roll around for hours without ever comin' up
I want you naked with your favorite heels on
Slap John Deere across my ass and ride me up and down the lawn
Yeah, we're gonna love it when the lights go down
(Hold on, here we go)
Yeah, we're gonna go until our legs give out
('Round and 'round we go)
Yeah, we're gonna do it hanging upside down
(Up and down we go)
Yeah, we're getting ready for the next go 'round
'Round and 'round we go
Yeah, we're gonna love it when the lights go down
(Hold on, here we go)
Yeah, we're gonna go until our legs give out
('Round and 'round we go)
Yeah, we're gonna do it hanging upside down
(Up and down we go)
Yeah, we're getting ready for the next go 'round
'Round and 'round we go"
